id,time,entity_type,entity_id,pos_x,pos_y,event_type
1,802,tree,1242,531.109009,-34.598099,spawned
2,802,tree,1246,-92.307503,739.21698,spawned
3,804,tree,1250,835.853027,221.059006,spawned
4,804,tree,1254,-70.759804,219.770004,spawned
5,804,dude,1258,232,189,created
6,805,dude,1265,821.757019,303.123993,created
7,805,plant,1272,497.222992,261.274994,spawned
8,2948,tree,1250,835.853027,221.059006,gathered
9,2949,dude,1265,830.785828,250.560516,gathered_resource_tree
10,2965,dude,1265,830.785828,250.560516,created_depot
11,3000,dude,1265,830.785828,250.560516,deposited_resource_wood
12,4899,tree,1254,-70.759804,219.770004,gathered
13,4900,dude,1258,-41.590855,216.805481,gathered_resource_tree
14,4914,dude,1258,-41.590855,216.805481,created_depot
15,4951,dude,1258,-41.590855,216.805481,deposited_resource_wood
16,6646,tree,1915,566.109009,-34.598099,spawned
17,6647,tree,1920,-57.307503,739.21698,spawned
18,7462,tree,1242,531.109009,-34.598099,gathered
19,7464,dude,1265,551.877014,-14.835953,gathered_resource_tree
20,10211,tree,1920,-57.307503,739.21698,gathered
21,10212,dude,1258,-57.367565,709.345642,gathered_resource_tree
22,10561,dude,1265,775.245544,197.710831,deposited_resource_wood
23,11648,tree,2344,-57.307503,739.21698,spawned
24,11665,tree,2350,566.109009,20.401901,spawned
25,13631,tree,2350,566.109009,20.401901,gathered
26,13632,dude,1265,589.898926,37.235443,gathered_resource_tree
27,14482,dude,1258,-43.7612,284.562531,deposited_resource_wood
28,16099,dude,1265,773.316956,199.666168,deposited_resource_wood
29,16651,tree,2666,-92.307503,684.21698,spawned
30,16651,food,2671,497.222992,261.274994,spawned
31,16651,tree,2676,-57.307503,684.21698,spawned
32,16667,tree,2682,566.109009,-89.598099,spawned
33,18533,tree,2676,-57.307503,684.21698,gathered
34,18534,dude,1258,-56.152386,654.349792,gathered_resource_tree
35,19601,tree,1915,566.109009,-34.598099,gathered
36,19603,dude,1265,585.606262,-12.583398,gathered_resource_tree
37,21655,tree,2998,-57.307503,684.21698,spawned
38,21671,tree,3008,566.109009,-34.598099,spawned
39,22255,dude,1258,-43.845528,284.552704,deposited_resource_wood
40,22438,dude,1265,777.618164,193.495911,deposited_resource_wood
41,25920,tree,3008,566.109009,-34.598099,gathered
42,25925,dude,1265,586.10144,-13.03898,gathered_resource_tree
43,26304,tree,2998,-57.307503,684.21698,gathered
44,26305,dude,1258,-56.301205,654.340393,gathered_resource_tree
45,26656,tree,3336,-57.307503,684.21698,spawned
46,26659,plant,3352,512.223022,261.274994,spawned
47,26672,tree,3358,601.109009,-89.598099,spawned
48,28756,dude,1265,777.723572,193.397339,deposited_resource_wood
49,30024,dude,1258,-43.868515,284.552673,deposited_resource_wood
