time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
1210,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
1560,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
1610,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
1760,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
1810,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
1960,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
2160,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
2410,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
2460,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
2660,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
2710,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
2810,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
2910,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
3460,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
3510,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
3610,False,5,50,10,20,15,100,5000,10000,100,80,5000,2,2,0,1,0
3660,False,5,50,10,20,15,100,5000,10000,100,80,5000,2,2,0,1,0
3810,False,5,50,10,20,15,100,5000,10000,100,80,5000,2,2,0,1,0
3960,False,5,50,10,20,15,100,5000,10000,100,80,5000,2,2,0,1,0
4060,False,5,50,10,20,15,100,5000,10000,100,80,5000,2,2,0,1,0
4960,False,5,50,10,20,15,100,5000,10000,100,80,5000,2,2,0,1,0
5210,False,5,50,10,20,15,100,5000,10000,100,80,5000,2,2,0,1,0
5310,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
5410,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
5460,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
5710,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
6210,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
6810,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
8360,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
9260,False,5,50,10,20,15,100,5000,10000,100,80,5000,2,2,0,1,0
9410,False,5,50,10,20,15,100,5000,10000,100,80,5000,2,2,0,1,0
9530,False,5,50,10,20,15,100,5000,10000,100,80,5000,2,2,0,1,0
9630,False,5,50,10,20,15,100,5000,10000,100,80,5000,2,2,0,1,0
9780,False,5,50,10,20,15,100,5000,10000,100,80,5000,2,2,0,1,0
9880,False,5,50,10,20,15,100,5000,10000,100,80,5000,2,2,0,1,0
9930,False,5,50,10,20,15,100,5000,10000,100,80,5000,2,2,0,1,0
9980,False,5,50,10,20,15,100,5000,10000,100,80,5000,2,2,0,1,0
10180,False,5,50,10,20,15,100,5000,10000,100,80,5000,2,2,0,1,0
10380,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
10480,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
10930,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
11030,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
11480,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
11530,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
11580,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
11630,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
11880,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
11980,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
12080,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
12180,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
12280,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
12330,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
12430,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
12580,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
12630,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
12680,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
12780,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
12880,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
12930,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
13030,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
13080,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,0,1,0
13230,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
13480,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
13680,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
13930,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
14620,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
14720,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
14770,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
14820,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
14871,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
14920,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
14970,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
15020,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
15070,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
15170,False,5,50,10,20,15,100,5000,10000,100,80,5000,3,2,0,1,0
15520,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
15670,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
15720,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
15770,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
15870,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
15920,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
15970,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
16020,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
16820,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
16870,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
17320,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
17370,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
17420,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
17570,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
17770,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
17820,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
17920,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
17970,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
18170,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
18220,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
18370,False,5,50,10,20,15,100,5000,10000,100,80,5000,5,2,1,0,0
18420,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,1,0,0
18570,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,1,0,0
18670,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,1,0,0
18770,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,1,0,0
19120,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,1,0,0
19170,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,1,0,0
19220,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,1,0,0
19270,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,1,0,0
19370,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,1,0,0
19450,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,1,0,0
19680,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,1,0,0
20130,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,1,0,0
20330,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,1,0,0
20430,False,5,50,10,20,15,100,5000,10000,100,80,5000,4,2,1,0,0
21080,False,5,50,10,20,15,100,5000,10000,100,80,5000,7,2,1,0,0
21530,False,5,50,10,20,15,100,5000,10000,100,80,5000,6,2,1,0,0
22780,False,5,50,10,20,15,100,5000,10000,100,80,5000,6,2,1,0,0
24080,False,5,50,10,20,15,100,5000,10000,100,80,5000,6,2,1,0,0
24130,False,5,50,10,20,15,100,5000,10000,100,80,5000,6,2,1,0,0
24330,False,5,50,10,20,15,100,5000,10000,100,80,5000,6,2,1,0,0
24430,False,5,50,10,20,15,100,5000,10000,100,80,5000,6,2,1,0,0
24730,False,5,50,10,20,15,100,5000,10000,100,80,5000,6,2,1,0,0
24880,False,5,50,10,20,15,100,5000,10000,100,80,5000,6,2,1,0,0
25130,False,5,50,10,20,15,100,5000,10000,100,80,5000,6,2,1,0,0
25280,False,5,50,10,20,15,100,5000,10000,100,80,5000,6,2,1,0,0
25680,False,5,50,10,20,15,100,5000,10000,100,80,5000,6,2,1,0,0
25730,False,5,50,10,20,15,100,5000,10000,100,80,5000,6,2,1,0,0
26230,False,5,50,10,20,15,100,5000,10000,100,80,5000,11,2,1,1,0
26830,False,5,50,10,20,15,100,5000,10000,100,80,5000,11,2,1,1,0
26880,False,5,50,10,20,15,100,5000,10000,100,80,5000,11,2,1,1,0
27130,False,5,50,10,20,15,100,5000,10000,100,80,5000,11,2,1,1,0
27330,False,5,50,10,20,15,100,5000,10000,100,80,5000,11,2,1,1,0
27780,False,5,50,10,20,15,100,5000,10000,100,80,5000,10,2,1,1,0
27880,False,5,50,10,20,15,100,5000,10000,100,80,5000,10,2,1,1,0
28230,False,5,50,10,20,15,100,5000,10000,100,80,5000,10,2,1,1,0
28480,False,5,50,10,20,15,100,5000,10000,100,80,5000,9,2,1,1,0
28530,False,5,50,10,20,15,100,5000,10000,100,80,5000,9,2,1,1,0
29080,False,5,50,10,20,15,100,5000,10000,100,80,5000,9,2,1,1,0
29380,False,5,50,10,20,15,100,5000,10000,100,80,5000,9,2,1,1,0
29470,False,5,50,10,20,15,100,5000,10000,100,80,5000,9,2,1,1,0
30040,False,5,50,10,20,15,100,5000,10000,100,80,5000,9,2,1,1,0
39460,False,5,50,10,20,15,100,5000,10000,100,80,5000,18,2,1,2,1
40930,False,5,50,10,20,15,100,5000,10000,100,80,5000,25,2,2,1,1
44480,False,5,50,10,20,15,100,5000,10000,100,80,5000,25,2,2,1,1
44530,False,5,50,10,20,15,100,5000,10000,100,80,5000,25,2,2,1,1
44580,False,5,50,10,20,15,100,5000,10000,100,80,5000,25,2,2,1,1
44780,False,5,50,10,20,15,100,5000,10000,100,80,5000,25,2,2,1,1
44830,False,5,50,10,20,15,100,5000,10000,100,80,5000,25,2,2,1,1
44880,False,5,50,10,20,15,100,5000,10000,100,80,5000,25,2,2,1,1
45530,False,5,50,10,20,15,100,5000,10000,100,80,5000,25,2,2,1,1
45780,False,5,50,10,20,15,100,5000,10000,100,80,5000,25,2,2,1,1
46080,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,2,2,1
46480,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,2,2,1
46630,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,1,2,1
46830,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,1,2,1
47030,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,1,2,1
47080,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,1,2,1
47130,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,1,2,1
47230,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,1,2,1
47880,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,1,2,1
47930,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,1,2,1
48080,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,1
48280,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,1
48330,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,1
48430,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,1
48530,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,1
48680,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,1
48980,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
49080,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
49130,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
49180,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
49280,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
49380,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
49430,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
49480,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
49560,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
49610,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
49660,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
49760,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
49810,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
50060,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
50110,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
50160,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
50210,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
50360,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
50460,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
50510,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
50530,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
50610,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
50660,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
50710,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
50760,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
50810,False,5,50,10,20,15,100,5000,10000,100,80,5000,34,2,0,2,2
50860,False,5,50,10,20,15,100,5000,10000,100,80,5000,36,2,1,1,2
51010,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
51060,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
51160,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
51260,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
51310,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
51360,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
51410,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
51460,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
51510,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
51760,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
51860,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
51910,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
52060,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
52210,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
52260,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
52310,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
52360,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
52510,False,5,50,10,20,15,100,5000,10000,100,80,5000,45,2,1,1,2
