time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
770,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
820,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
870,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
970,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
1020,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
1120,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
1220,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
1370,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
1420,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
1470,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
1670,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
1720,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
1770,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
1870,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2130,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2220,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2270,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2320,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2370,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2420,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2470,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2570,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2670,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2820,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2870,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2920,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2970,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
3070,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
3220,False,5.5,50,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
