time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
470,True,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
560,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
610,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
710,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
760,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
860,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
910,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
960,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
1010,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
1070,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
1110,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
1260,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
1310,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
1410,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
1610,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
1660,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
1710,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
1760,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
1960,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
2210,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
2260,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
2310,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
2460,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
2560,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
2660,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
2710,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
2810,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
2860,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
2910,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
3260,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
3310,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
3360,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
3410,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
3460,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
3510,False,5,50,10,10,15,100,5000,10000,80,80,5000,2,2,0,1,0
3810,False,5,50,10,10,15,100,5000,10000,80,80,5000,2,2,0,1,0
4010,False,5,50,10,10,15,100,5000,10000,80,80,5000,2,2,0,1,0
4060,False,5,50,10,10,15,100,5000,10000,80,80,5000,2,2,0,1,0
4110,False,5,50,10,10,15,100,5000,10000,80,80,5000,2,2,0,1,0
4210,False,5,50,10,10,15,100,5000,10000,80,80,5000,2,2,0,1,0
4260,False,5,50,10,10,15,100,5000,10000,80,80,5000,2,2,0,1,0
4560,False,5,50,10,10,15,100,5000,10000,80,80,5000,2,2,0,1,0
4590,False,5,50,10,10,15,100,5000,10000,80,80,5000,2,2,0,1,0
6130,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
6930,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
7030,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
7130,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
7230,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
7480,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
8030,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
8280,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
8630,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
8830,False,5,50,10,10,15,100,5000,10000,80,80,5000,2,2,0,1,0
9230,False,5,50,10,10,15,100,5000,10000,80,80,5000,2,2,0,1,0
9490,False,5,50,10,10,15,100,5000,10000,80,80,5000,2,2,0,1,0
9590,False,5,50,10,10,15,100,5000,10000,80,80,5000,2,2,0,1,0
9840,False,5,50,10,10,15,100,5000,10000,80,80,5000,2,2,0,1,0
10040,False,5,50,10,10,15,100,5000,10000,80,80,5000,2,2,0,1,0
10190,False,5,50,10,10,15,100,5000,10000,80,80,5000,2,2,0,1,0
10340,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
10940,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
10990,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,0,1,0
12840,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
14290,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
14490,False,5,50,10,10,15,100,5000,10000,80,80,5000,3,2,0,1,0
15590,False,5,50,10,10,15,100,5000,10000,80,80,5000,6,2,1,0,0
15740,False,5,50,10,10,15,100,5000,10000,80,80,5000,6,2,1,0,0
16340,False,5,50,10,10,15,100,5000,10000,80,80,5000,6,2,1,0,0
16390,False,5,50,10,10,15,100,5000,10000,80,80,5000,6,2,1,0,0
16740,False,5,50,10,10,15,100,5000,10000,80,80,5000,6,2,1,0,0
16990,False,5,50,10,10,15,100,5000,10000,80,80,5000,6,2,1,0,0
17090,False,5,50,10,10,15,100,5000,10000,80,80,5000,6,2,1,0,0
17610,False,5,50,10,10,15,100,5000,10000,80,80,5000,5,2,1,0,0
18090,False,5,50,10,10,15,100,5000,10000,80,80,5000,5,2,1,0,0
18340,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,1,0,0
18540,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,1,0,0
18790,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,1,0,0
19040,False,5,50,10,10,15,100,5000,10000,80,80,5000,4,2,1,0,0
