time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
600,False,5,30,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
650,False,5,30,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
800,False,5,30,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
850,False,5,30,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
1100,False,5,30,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
1250,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
1350,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
1450,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
1700,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
1750,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
1900,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2000,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2100,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2200,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2250,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2300,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2550,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2650,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2700,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2750,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2800,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2850,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2970,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
3120,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
3270,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
3520,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
3570,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
3920,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4020,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4670,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4820,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4870,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
5070,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
5120,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
5170,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
5320,False,5,30,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
5470,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
5520,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
5670,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
5720,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
5870,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
5920,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
6020,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
6170,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
6220,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
6370,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
6820,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
6920,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
6970,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
7020,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
7320,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
7670,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
7770,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
7920,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
7970,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
8120,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
8170,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
8320,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
8370,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
8620,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
8820,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
9370,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
9470,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
9570,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
9770,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
9920,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
10020,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
10120,False,5,30,10,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
10370,False,5,30,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
10420,False,5,30,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
10470,False,5,30,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
10521,False,5,30,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
10620,False,5,30,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
10670,False,5,30,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
10770,False,5,30,10,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
11370,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
11420,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
12220,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
12270,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
12370,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
12570,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
12720,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
12820,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
12920,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13070,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13170,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13220,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13320,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13520,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13720,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13870,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14020,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14120,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14320,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14370,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14420,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14470,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14520,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14570,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14770,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14920,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
15020,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
15270,False,5,30,10,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
15620,False,5,30,10,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
15670,False,5,30,10,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
15770,False,5,30,10,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
15820,False,5,30,10,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
16120,False,5,30,10,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
16320,False,5,30,10,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
16420,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
16570,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
16720,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
16920,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
16970,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
17170,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
17220,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
17320,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
17571,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
17620,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
17770,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
17820,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
17970,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
18020,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
18070,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
18170,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
18270,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
18320,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
18470,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
18570,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
18620,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
18670,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
18920,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
18970,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
19020,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
19570,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
19670,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
19920,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
19971,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
20070,False,5,30,10,20,15,100,5000,10000,80,80,5000,3,2,1,0,0
20220,False,5,30,10,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
20320,False,5,30,10,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
20620,False,5,30,10,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
20720,False,5,30,10,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
20770,False,5,30,10,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
20820,False,5,30,10,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
20920,False,5,30,10,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
