time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
580,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
630,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
780,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
830,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
880,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
1330,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
1380,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
1430,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
1480,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
1630,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
1880,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
1930,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
1980,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2030,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2080,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2130,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2280,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2330,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2380,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2630,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2730,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2780,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
2830,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
3030,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
3180,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
3230,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
3280,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
3350,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
3450,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
3500,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
3750,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
3800,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
3950,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4000,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4050,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4200,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4250,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4300,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4350,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4400,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4600,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4650,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4700,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4750,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4800,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4850,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4900,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
4950,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
5000,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
5050,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
5150,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
5200,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
5250,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
5300,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
5350,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
5400,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
5450,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
5700,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
5800,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
5850,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
5900,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
6000,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
6100,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
6200,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
6250,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
6450,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
6500,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
6550,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
6650,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
6700,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
6750,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
6850,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
7000,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
7200,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
7250,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
7300,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
7350,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
7400,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
7450,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
7500,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
7800,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
7850,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
8450,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
8550,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
9300,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
9450,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
9550,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
9800,False,5,50,5,20,15,100,5000,10000,80,80,5000,2,2,0,1,0
10250,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
10300,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
10350,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
10400,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
10450,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
10500,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
10550,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
10600,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
10750,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
10800,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
10950,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
11000,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
11050,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
11100,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
11150,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
11200,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
11250,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
11450,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
11500,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
12000,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,0,1,0
12350,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
12400,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
12450,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
12800,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
12850,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13000,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13050,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13100,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13200,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13350,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13400,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13450,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13500,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13550,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13700,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
13850,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14000,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14050,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14100,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14150,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14200,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14250,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14300,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14550,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14600,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
14850,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
15000,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
15200,False,5,50,5,20,15,100,5000,10000,80,80,5000,3,2,0,1,0
15250,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
15300,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
15350,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
15400,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
15500,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
15550,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
15950,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
16050,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
16200,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
16600,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
16650,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
16850,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
17050,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,0,0
17150,False,5,50,5,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
17200,False,5,50,5,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
17250,False,5,50,5,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
17300,False,5,50,5,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
17350,False,5,50,5,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
17400,False,5,50,5,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
17600,False,5,50,5,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
17700,False,5,50,5,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
17800,False,5,50,5,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
17850,False,5,50,5,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
18000,False,5,50,5,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
18050,False,5,50,5,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
18100,False,5,50,5,20,15,100,5000,10000,80,80,5000,5,2,1,0,0
18250,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
18300,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
18350,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
18450,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
18500,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
18550,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
18700,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
18950,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
19000,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
19050,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
19200,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
19250,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
19300,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
19400,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
19500,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
19550,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
19600,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
19650,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
19700,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
19900,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
20050,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
20200,False,5,50,5,20,15,100,5000,10000,80,80,5000,4,2,1,0,0
20250,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
20300,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
20350,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
20400,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
20550,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
20600,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
20700,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
20900,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
20950,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
21000,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
21050,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
21100,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
21200,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
21450,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
21500,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
21650,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
21750,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
22100,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
22150,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
22200,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
22250,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
22300,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
22350,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
22500,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
22650,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
22750,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
23050,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
23150,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
23200,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
23250,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
23300,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
23350,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
23400,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
23600,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
23700,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
23950,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
24050,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
24100,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
24150,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
24200,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
24250,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
24300,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
24350,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
24450,False,5,50,5,20,15,100,5000,10000,80,80,5000,6,2,1,1,0
