time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
610,False,5,50,10,20,15,100,5000,10000,80,80,6000,4,2,0,1,0
1030,False,5,50,10,20,15,100,5000,10000,80,80,6000,4,2,0,1,0
1080,False,5,50,10,20,15,100,5000,10000,80,80,6000,4,2,0,1,0
1130,False,5,50,10,20,15,100,5000,10000,80,80,6000,4,2,0,1,0
1180,False,5,50,10,20,15,100,5000,10000,80,80,6000,4,2,0,1,0
1230,False,5,50,10,20,15,100,5000,10000,80,80,6000,4,2,0,1,0
1330,False,5,50,10,20,15,100,5000,10000,80,80,6000,4,2,0,1,0
1580,False,5,50,10,20,15,100,5000,10000,80,80,6000,3,2,0,1,0
1730,False,5,50,10,20,15,100,5000,10000,80,80,6000,3,2,0,1,0
1980,False,5,50,10,20,15,100,5000,10000,80,80,6000,3,2,0,1,0
2380,False,5,50,10,20,15,100,5000,10000,80,80,6000,3,2,0,1,0
2430,False,5,50,10,20,15,100,5000,10000,80,80,6000,3,2,0,1,0
2480,False,5,50,10,20,15,100,5000,10000,80,80,6000,3,2,0,1,0
3180,False,5,50,10,20,15,100,5000,10000,80,80,6000,3,2,0,1,0
3230,False,5,50,10,20,15,100,5000,10000,80,80,6000,3,2,0,1,0
3680,False,5,50,10,20,15,100,5000,10000,80,80,6000,2,2,0,1,0
3780,False,5,50,10,20,15,100,5000,10000,80,80,6000,2,2,0,1,0
3930,False,5,50,10,20,15,100,5000,10000,80,80,6000,2,2,0,1,0
4180,False,5,50,10,20,15,100,5000,10000,80,80,6000,2,2,0,1,0
4680,False,5,50,10,20,15,100,5000,10000,80,80,6000,2,2,0,1,0
4730,False,5,50,10,20,15,100,5000,10000,80,80,6000,2,2,0,1,0
4830,False,5,50,10,20,15,100,5000,10000,80,80,6000,2,2,0,1,0
5730,False,5,50,10,20,15,100,5000,10000,80,80,6000,4,2,0,1,0
