time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
500,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
520,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
570,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
770,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
870,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
970,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
1020,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
1070,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
1270,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
1320,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
1370,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
1420,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
1520,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
1570,False,5,50,10,20,15,100,5000,8000,80,80,5000,3,2,0,1,0
2270,False,5,50,10,20,15,100,5000,8000,80,80,5000,3,2,0,1,0
3650,False,5,50,10,20,15,100,5000,8000,80,80,5000,2,2,0,1,0
6211,False,5,50,10,20,15,100,5000,8000,80,80,5000,3,2,0,1,0
7410,False,5,50,10,20,15,100,5000,8000,80,80,5000,3,2,0,1,0
9230,False,5,50,10,20,15,100,5000,8000,80,80,5000,2,2,0,1,0
9660,False,5,50,10,20,15,100,5000,8000,80,80,5000,2,2,0,1,0
9710,False,5,50,10,20,15,100,5000,8000,80,80,5000,2,2,0,1,0
10960,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
11010,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
11110,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
11210,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
11310,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
11510,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
11610,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
12060,False,5,50,10,20,15,100,5000,8000,80,80,5000,4,2,0,1,0
13050,False,5,50,10,20,15,100,5000,8000,80,80,5000,3,2,0,1,0
13950,False,5,50,10,20,15,100,5000,8000,80,80,5000,3,2,0,1,0
17300,False,5,50,10,20,15,100,5000,8000,80,80,5000,5,2,1,0,0
24290,False,5,50,10,20,15,100,5000,8000,80,80,5000,6,2,1,0,0
26100,False,5,50,10,20,15,100,5000,8000,80,80,5000,6,2,1,1,0
26240,False,5,50,10,20,15,100,5000,8000,80,80,5000,6,2,1,1,0
32550,False,5,50,10,20,15,100,5000,8000,80,80,5000,8,2,1,1,1
32800,False,5,50,10,20,15,100,5000,8000,80,80,5000,8,2,1,1,1
32850,False,5,50,10,20,15,100,5000,8000,80,80,5000,8,2,1,1,1
