id,time,entity_type,entity_id,pos_x,pos_y,event_type
1,0,tree,1243,531.109009,-34.598099,spawned
2,1,tree,1247,-92.307503,739.21698,spawned
3,2,tree,1251,835.853027,221.059006,spawned
4,3,tree,1255,-70.759804,219.770004,spawned
5,3,dude,1259,232,189,spawned
6,3,dude,1266,821.757019,303.123993,spawned
7,3,plant,1273,497.222992,261.274994,spawned
8,1561,tree,1251,835.853027,221.059006,harvested
9,1562,dude,1266,830.785828,250.560516,harvested_resource_tree
10,1577,dude,1266,830.785828,250.560516,spawned_depot
11,1611,dude,1266,830.785828,250.560516,deposited_resource_wood
12,4027,tree,1255,-70.759804,219.770004,harvested
13,4028,dude,1259,-41.590855,216.805481,harvested_resource_tree
14,4045,dude,1259,-41.590855,216.805481,spawned_depot
15,4077,dude,1259,-41.590855,216.805481,deposited_resource_wood
16,5783,tree,1866,566.109009,-34.598099,spawned
17,5784,tree,1871,-57.307503,739.21698,spawned
18,6599,tree,1243,531.109009,-34.598099,harvested
19,6600,dude,1266,551.877014,-14.835953,harvested_resource_tree
20,9349,tree,1871,-57.307503,739.21698,harvested
21,9350,dude,1259,-57.367565,709.345642,harvested_resource_tree
22,9699,dude,1266,775.245544,197.710831,deposited_resource_wood
23,10785,tree,2237,-57.307503,739.21698,spawned
24,10786,tree,2242,566.109009,20.401901,spawned
25,12767,tree,2242,566.109009,20.401901,harvested
26,12768,dude,1266,589.829346,37.26339,harvested_resource_tree
27,13618,dude,1259,-43.7612,284.562531,deposited_resource_wood
28,15233,dude,1266,773.28009,199.655472,deposited_resource_wood
29,15782,tree,2609,-92.307503,684.21698,spawned
30,15782,food,2614,497.222992,261.274994,spawned
31,15783,tree,2619,566.109009,-89.598099,spawned
32,15798,tree,2625,-57.307503,684.21698,spawned
33,17664,tree,2625,-57.307503,684.21698,harvested
34,17666,dude,1259,-56.201462,654.320312,harvested_resource_tree
35,18731,tree,1866,566.109009,-34.598099,harvested
36,18732,dude,1266,585.585205,-12.605018,harvested_resource_tree
37,20803,tree,2961,-57.307503,684.21698,spawned
38,20804,tree,2970,566.109009,-34.598099,spawned
39,21388,dude,1259,-43.852482,284.528412,deposited_resource_wood
40,21572,dude,1266,777.597595,193.473862,deposited_resource_wood
41,25036,tree,2970,566.109009,-34.598099,harvested
42,25038,dude,1266,586.080933,-13.061055,harvested_resource_tree
43,25419,tree,2961,-57.307503,684.21698,harvested
44,25420,dude,1259,-56.300964,654.316101,harvested_resource_tree
45,25791,tree,3331,-57.307503,684.21698,spawned
46,25792,plant,3336,512.223022,261.274994,spawned
47,25793,tree,3341,601.109009,-89.598099,spawned
48,27871,dude,1266,777.703064,193.375259,deposited_resource_wood
49,29137,dude,1259,-43.867851,284.528381,deposited_resource_wood
50,29536,dude,1266,810.585571,228.799103,gathered_building_materials
51,29553,building,3596,810.585571,228.799103,spawned
52,29553,dude,1266,810.585571,228.799103,spawned_building
53,30790,tree,3692,-92.307503,629.21698,spawned
54,30807,tree,3702,-22.307503,684.21698,spawned
55,30807,tree,3707,601.109009,-144.598099,spawned
56,32672,tree,3692,-92.307503,629.21698,harvested
57,32673,dude,1259,-85.444,600.220886,harvested_resource_tree
58,33740,quarry,1277,1013.419983,-42.638901,harvested
59,33743,dude,1266,996.15033,-19.527992,harvested_resource_quarry
60,33756,dude,1266,996.15033,-19.527992,spawned_depot
61,33790,dude,1266,996.15033,-19.527992,deposited_resource_rock
62,35145,quarry,1277,1013.419983,-42.638901,harvested
63,35146,dude,1266,996.15033,-19.527992,harvested_resource_quarry
64,35179,dude,1266,996.15033,-19.527992,deposited_resource_rock
65,35796,tree,4056,-22.307503,739.21698,spawned
66,35797,plant,4065,497.222992,246.274994,spawned
67,35798,tree,4070,531.109009,-89.598099,spawned
68,35799,tree,4079,601.109009,-34.598099,spawned
69,35879,dude,1259,-49.270172,283.947083,deposited_resource_wood
70,36528,quarry,1277,1013.419983,-42.638901,harvested
71,36529,dude,1266,996.15033,-19.527992,harvested_resource_quarry
72,36562,dude,1266,996.15033,-19.527992,deposited_resource_rock
73,37545,dude,1259,-44.914177,245.861862,gathered_building_materials
74,37912,quarry,1277,1013.419983,-42.638901,harvested
75,37913,dude,1266,996.15033,-19.527992,harvested_resource_quarry
76,37945,dude,1266,996.15033,-19.527992,deposited_resource_rock
77,39294,quarry,1277,1013.419983,-42.638901,harvested
78,39296,dude,1266,996.15033,-19.527992,harvested_resource_quarry
79,39328,dude,1266,996.15033,-19.527992,deposited_resource_rock
80,40780,tree,4424,-92.307503,629.21698,spawned
81,40795,food,4442,512.223022,261.274994,spawned
82,40796,tree,4451,-22.307503,794.21698,spawned
83,40796,tree,4456,531.109009,-144.598099,spawned
84,40813,tree,4470,601.109009,-199.598099,spawned
85,40994,dude,1266,996.15033,-19.527992,gathered_upgrade_materials
86,42878,food,2614,497.222992,261.274994,harvested
87,42878,dude,1259,470.509064,248.395782,ate_food
88,45149,building,4738,1002.585571,228.799103,spawned
89,45151,dude,1259,695.133545,235.451752,spawned_building
90,45782,tree,4785,-92.307503,794.21698,spawned
91,45782,tree,4794,566.109009,-144.598099,spawned
92,45799,tree,4824,566.109009,-34.598099,spawned
93,45799,tree,4829,-22.307503,849.21698,spawned
94,45800,tree,4834,496.109009,-144.598099,spawned
95,45815,tree,4840,12.692497,684.21698,spawned
96,45815,tree,4845,636.109009,-144.598099,spawned
97,45816,tree,4850,601.109009,-254.598099,spawned
98,46598,food,4442,512.223022,261.274994,harvested
99,46599,dude,1266,539.846375,249.821976,ate_food
100,48165,dude,1266,694.382812,237.822342,upgraded_building
101,49175,dude,5064,810.585571,228.799103,spawned
102,50135,quarry,1277,1013.419983,-42.638901,harvested
103,50137,dude,1259,991.121155,-23.059824,harvested_resource_quarry
104,50153,dude,1259,991.121155,-23.059824,spawned_depot
105,50186,dude,1259,991.121155,-23.059824,deposited_resource_rock
106,50785,tree,5193,-92.307503,574.21698,spawned
107,50802,tree,5203,-57.307503,629.21698,spawned
108,50803,food,5216,497.222992,246.274994,spawned
109,50803,tree,5221,496.109009,-89.598099,spawned
110,50804,tree,5234,531.109009,-199.598099,spawned
111,50804,tree,5239,-92.307503,849.21698,spawned
112,50805,tree,5244,566.109009,-199.598099,spawned
113,50819,tree,5258,636.109009,-199.598099,spawned
114,50835,tree,5276,12.692497,739.21698,spawned
115,50836,tree,5281,671.109009,-144.598099,spawned
116,51535,quarry,1277,1013.419983,-42.638901,harvested
117,51536,dude,1259,991.121155,-23.059824,harvested_resource_quarry
118,51570,dude,1259,991.121155,-23.059824,deposited_resource_rock
119,52885,tree,4079,601.109009,-34.598099,harvested
120,52887,dude,5064,619.701538,-11.218953,harvested_resource_tree
121,52903,dude,5064,619.701538,-11.218953,spawned_depot
122,52918,quarry,1277,1013.419983,-42.638901,harvested
123,52919,dude,1259,991.121155,-23.059824,harvested_resource_quarry
124,52936,dude,5064,619.701538,-11.218953,deposited_resource_wood
125,52952,dude,1259,991.121155,-23.059824,deposited_resource_rock
126,53785,tree,4824,566.109009,-34.598099,harvested
127,53786,dude,5064,592.203857,-23.214436,harvested_resource_tree
128,53819,dude,5064,593.731506,-22.548025,deposited_resource_wood
129,54303,quarry,1277,1013.419983,-42.638901,harvested
130,54304,dude,1259,991.121155,-23.059824,harvested_resource_quarry
131,54336,dude,1259,991.121155,-23.059824,deposited_resource_rock
132,54956,tree,3341,601.109009,-89.598099,harvested
133,54957,dude,5064,597.924011,-60.651424,harvested_resource_tree
134,54993,dude,5064,598.595947,-59.126209,deposited_resource_wood
135,55689,quarry,1277,1013.419983,-42.638901,harvested
136,55690,dude,1259,991.121155,-23.059824,harvested_resource_quarry
137,55724,dude,1259,991.121155,-23.059824,deposited_resource_rock
138,55790,tree,5660,601.109009,-89.598099,spawned
139,55790,tree,5669,-92.307503,519.21698,spawned
140,55807,tree,5691,-57.307503,794.21698,spawned
141,55808,tree,5712,461.109009,-89.598099,spawned
142,55823,tree,5730,-22.307503,629.21698,spawned
143,55824,tree,5747,496.109009,-199.598099,spawned
144,55824,tree,5752,671.109009,-199.598099,spawned
145,55839,tree,2619,566.109009,-89.598099,harvested
146,55840,dude,5064,587.274475,-69.174156,harvested_resource_tree
147,55840,tree,5762,12.692497,629.21698,spawned
148,55841,tree,5779,671.109009,-89.598099,spawned
149,55873,dude,5064,588.088257,-67.719681,deposited_resource_wood
150,56722,tree,5660,601.109009,-89.598099,harvested
151,56723,dude,5064,588.902039,-66.265205,harvested_resource_tree
152,56757,dude,5064,589.71582,-64.81073,deposited_resource_wood
153,57389,dude,1259,991.121155,-23.059824,gathered_upgrade_materials
154,58423,dude,5064,605.178101,-37.175762,gathered_building_materials
155,59023,dude,1259,998.473145,138.439575,upgraded_building
156,60027,dude,6072,1002.585571,228.799103,spawned
157,60654,building,6128,618.585571,228.799103,spawned
158,60654,dude,5064,740.667419,138.264008,spawned_building
159,60787,tree,6162,-127.307503,794.21698,spawned
160,60787,tree,6167,566.109009,-89.598099,spawned
161,60788,tree,6176,-92.307503,464.21698,spawned
162,60804,plant,6214,512.223022,246.274994,spawned
163,60805,tree,6239,461.109009,-34.598099,spawned
164,60820,tree,6249,601.109009,-89.598099,spawned
165,60820,tree,6258,47.692497,684.21698,spawned
166,60821,tree,6263,636.109009,-89.598099,spawned
167,60821,tree,6268,566.109009,-254.598099,spawned
168,60822,tree,6277,-22.307503,574.21698,spawned
169,60822,tree,6282,461.109009,-199.598099,spawned
170,64687,quarry,1277,1013.419983,-42.638901,harvested
171,64688,dude,5064,989.462524,-26.573561,harvested_resource_quarry
172,64704,dude,5064,989.462524,-26.573561,spawned_depot
173,64738,dude,5064,989.462524,-26.573561,deposited_resource_rock
174,64942,tree,5779,671.109009,-89.598099,harvested
175,64944,dude,6072,692.475159,-69.07534,harvested_resource_tree
176,64960,dude,6072,692.475159,-69.07534,spawned_depot
177,64995,dude,6072,692.475159,-69.07534,deposited_resource_wood
178,65793,tree,6678,-127.307503,739.21698,spawned
179,65795,tree,6707,-127.307503,519.21698,spawned
180,65811,tree,6737,461.109009,-144.598099,spawned
181,65812,tree,6750,531.109009,-254.598099,spawned
182,65812,tree,6763,-57.307503,849.21698,spawned
183,65827,tree,6805,636.109009,-254.598099,spawned
184,65843,tree,6263,636.109009,-89.598099,harvested
185,65844,dude,6072,664.285339,-79.339165,harvested_resource_tree
186,65845,tree,6835,47.692497,739.21698,spawned
187,65845,tree,6840,671.109009,-89.598099,spawned
188,65846,tree,6849,601.109009,-34.598099,spawned
189,65846,tree,6862,12.692497,574.21698,spawned
190,65878,dude,6072,665.85144,-78.768959,deposited_resource_wood
191,66093,quarry,1277,1013.419983,-42.638901,harvested
192,66095,dude,5064,989.462524,-26.573561,harvested_resource_quarry
193,66128,dude,5064,989.462524,-26.573561,deposited_resource_rock
194,66726,tree,6840,671.109009,-89.598099,harvested
195,66728,dude,6072,665.85144,-78.768959,harvested_resource_tree
196,66759,dude,6072,665.85144,-78.768959,deposited_resource_wood
197,67476,quarry,1277,1013.419983,-42.638901,harvested
198,67477,dude,5064,989.462524,-26.573561,harvested_resource_quarry
199,67510,dude,5064,989.462524,-26.573561,deposited_resource_rock
200,67643,tree,6249,601.109009,-89.598099,harvested
201,67644,dude,6072,629.686523,-84.817993,harvested_resource_tree
202,67676,dude,6072,631.303162,-84.412666,deposited_resource_wood
203,68526,tree,6849,601.109009,-34.598099,harvested
204,68527,dude,6072,616.67981,-58.78302,harvested_resource_tree
205,68594,dude,6072,621.634277,-59.455795,deposited_resource_wood
206,68861,quarry,1277,1013.419983,-42.638901,harvested
207,68862,dude,5064,989.462524,-26.573561,harvested_resource_quarry
208,68893,dude,5064,989.462524,-26.573561,deposited_resource_rock
209,70248,quarry,1277,1013.419983,-42.638901,harvested
210,70250,dude,5064,989.462524,-26.573561,harvested_resource_quarry
211,70263,dude,6072,662.921509,-65.062256,gathered_building_materials
212,70283,dude,5064,989.462524,-26.573561,deposited_resource_rock
213,70783,tree,7270,-127.307503,629.21698,spawned
214,70799,plant,7316,497.222992,261.274994,spawned
215,70799,tree,7321,496.109009,-34.598099,spawned
216,70800,tree,7342,-162.307495,794.21698,spawned
217,70801,tree,7347,566.109009,-34.598099,spawned
218,70801,tree,7356,-127.307503,684.21698,spawned
219,70816,tree,7398,426.109009,-34.598099,spawned
220,70832,tree,7420,636.109009,-89.598099,spawned
