time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
810,False,5,50,10,20,15,120,5000,10000,80,80,5000,4,2,0,1,0
1110,False,5,50,10,20,15,120,5000,10000,80,80,5000,4,2,0,1,0
1160,False,5,50,10,20,15,120,5000,10000,80,80,5000,4,2,0,1,0
1210,False,5,50,10,20,15,120,5000,10000,80,80,5000,4,2,0,1,0
1260,False,5,50,10,20,15,120,5000,10000,80,80,5000,4,2,0,1,0
1310,False,5,50,10,20,15,120,5000,10000,80,80,5000,4,2,0,1,0
1410,False,5,50,10,20,15,120,5000,10000,80,80,5000,4,2,0,1,0
1610,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
1760,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
1810,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
2060,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
2160,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
2260,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
2310,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
2360,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
2410,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
2460,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
2610,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
2760,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
3010,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
3110,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
3260,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
3320,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
3510,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
3610,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
3880,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
3930,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
3980,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
4130,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
4180,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
4330,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
4380,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
4480,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
4680,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
4730,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
4780,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
4830,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
4880,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
4930,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
4980,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
5030,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
5130,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
5230,False,5,50,10,20,15,120,5000,10000,80,80,5000,4,2,0,1,0
5280,False,5,50,10,20,15,120,5000,10000,80,80,5000,4,2,0,1,0
5380,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
5480,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
5530,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
5630,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
5680,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
5830,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
5980,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
6030,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
6180,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
6230,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
6380,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
6430,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
6630,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
6730,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
6780,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
6830,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
7080,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
7180,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
7230,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
7280,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
7430,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
7480,False,5,50,10,20,15,120,5000,10000,80,80,5000,3,2,0,1,0
7680,False,5,50,10,20,15,120,5000,10000,80,80,5000,2,2,0,1,0
