time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
540,False,5,50,10,20,15,100,5000,10000,80,50,5000,4,2,0,1,0
690,False,5,50,10,20,15,100,5000,10000,80,50,5000,4,2,0,1,0
790,False,5,50,10,20,15,100,5000,10000,80,50,5000,4,2,0,1,0
1090,False,5,50,10,20,15,100,5000,10000,80,50,5000,4,2,0,1,0
1140,False,5,50,10,20,15,100,5000,10000,80,50,5000,4,2,0,1,0
1190,False,5,50,10,20,15,100,5000,10000,80,50,5000,4,2,0,1,0
1360,False,5,50,10,20,15,100,5000,10000,80,50,5000,4,2,0,1,0
1510,False,5,50,10,20,15,100,5000,10000,80,50,5000,4,2,0,1,0
1560,False,5,50,10,20,15,100,5000,10000,80,50,5000,3,2,0,1,0
1610,False,5,50,10,20,15,100,5000,10000,80,50,5000,3,2,0,1,0
1820,False,5,50,10,20,15,100,5000,10000,80,50,5000,3,2,0,1,0
1870,False,5,50,10,20,15,100,5000,10000,80,50,5000,3,2,0,1,0
2020,False,5,50,10,20,15,100,5000,10000,80,50,5000,3,2,0,1,0
2070,False,5,50,10,20,15,100,5000,10000,80,50,5000,3,2,0,1,0
2220,False,5,50,10,20,15,100,5000,10000,80,50,5000,3,2,0,1,0
2270,False,5,50,10,20,15,100,5000,10000,80,50,5000,3,2,0,1,0
2370,False,5,50,10,20,15,100,5000,10000,80,50,5000,3,2,0,1,0
2420,False,5,50,10,20,15,100,5000,10000,80,50,5000,3,2,0,1,0
2470,False,5,50,10,20,15,100,5000,10000,80,50,5000,3,2,0,1,0
2520,False,5,50,10,20,15,100,5000,10000,80,50,5000,3,2,0,1,0
2560,False,5,50,10,20,15,100,5000,10000,80,50,5000,3,2,0,1,0
2670,False,5,50,10,20,15,100,5000,10000,80,50,5000,3,2,0,1,0
2720,False,5,50,10,20,15,100,5000,10000,80,50,5000,3,2,0,1,0
2870,False,5,50,10,20,15,100,5000,10000,80,50,5000,3,2,0,1,0
