time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
100,True,5,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
590,False,5,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1140,False,5,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1240,False,5,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1340,False,5,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1350,False,5,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1400,False,5,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1500,False,5,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1650,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
1700,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
1750,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
1800,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
1900,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
1950,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2050,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2100,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2250,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2350,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2450,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2500,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2700,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2750,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2800,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2900,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2950,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3100,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3150,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3200,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3250,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3350,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3400,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3450,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3500,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3550,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3650,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3700,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3750,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3800,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3850,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3900,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3950,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4000,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4050,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4100,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4150,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4200,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4300,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4350,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4400,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4450,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4500,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4550,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4650,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4700,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4750,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4850,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4900,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4950,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5000,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5050,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5100,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5150,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5200,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5250,False,5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5300,False,5,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
5350,False,5,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
5400,False,5,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
5450,False,5,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
5500,False,5,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
5710,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
5760,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
5810,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
5860,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
5910,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6010,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6060,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6110,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6160,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6210,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6360,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6460,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6510,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6560,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6810,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6860,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6910,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7060,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7110,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7160,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7210,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7260,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7310,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7410,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7460,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7510,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7810,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7860,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7910,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7960,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8060,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8110,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8160,False,5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
