time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
700,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,0,1,0
800,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,0,1,0
1100,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,0,1,0
1250,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,0,1,0
1750,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
1800,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
1900,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
1950,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
2000,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
2150,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
2250,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
2640,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
2740,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
2790,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
2840,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
2860,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
2890,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
3040,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
3090,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
3140,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
3290,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
3390,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
3440,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
3590,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
3690,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
3790,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
3840,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
3890,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
3940,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
3990,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
4040,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
4090,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
4190,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
4390,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
4590,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
4640,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
4890,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
5090,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
5140,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
5190,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
5240,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,0,1,0
5290,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,0,1,0
5390,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,0,1,0
5550,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,0,1,0
5550,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,0,1,0
5550,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,0,1,0
5750,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
5900,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
6250,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
6400,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
6450,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
6750,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
6800,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
6850,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
6900,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
6950,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,0,1,0
9250,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,0,1,0
10930,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,0,0
12720,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
12820,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
13020,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
13070,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
13170,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
13220,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
13420,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
13620,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
13670,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
13870,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
14070,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
14120,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
14420,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
14470,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
14570,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
14720,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
14870,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
15020,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
15070,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
15120,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
15170,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
15220,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
15270,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
15370,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
15470,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
15520,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
15570,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
15620,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
15720,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
15770,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,0,0
15920,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,0,0
16070,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,0,0
16320,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,0,0
16570,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
16770,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
16820,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
16870,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
17020,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
17090,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
17170,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
17320,False,5,50,10,20,10,110,5000,10000,80,80,4000,3,2,1,0,0
18600,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,1,0,0
22300,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,0
25320,False,5,50,10,20,10,110,5000,10000,80,80,4000,2,2,1,1,0
27620,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
27670,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
27770,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
27870,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
27920,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
27970,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
28020,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
28170,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
28220,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
28270,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
28370,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
28420,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
28520,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
28570,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
28820,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
28870,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
28920,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
28970,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
29120,False,5,50,10,20,10,110,5000,10000,80,80,4000,4,2,1,1,1
