time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
900,False,5,50,10,20,10,110,4000,10000,80,80,5000,4,2,0,1,0
1000,False,5,50,10,20,10,110,4000,10000,80,80,5000,4,2,0,1,0
1870,False,5,50,10,20,10,110,4000,10000,80,80,5000,4,2,0,1,0
2000,False,5,50,10,20,10,110,4000,10000,80,80,5000,4,2,0,1,0
2150,False,5,50,10,20,10,110,4000,10000,80,80,5000,3,2,0,1,0
2200,False,5,50,10,20,10,110,4000,10000,80,80,5000,3,2,0,1,0
2300,False,5,50,10,20,10,110,4000,10000,80,80,5000,3,2,0,1,0
2400,False,5,50,10,20,10,110,4000,10000,80,80,5000,3,2,0,1,0
2450,False,5,50,10,20,10,110,4000,10000,80,80,5000,3,2,0,1,0
2500,False,5,50,10,20,10,110,4000,10000,80,80,5000,3,2,0,1,0
3100,False,5,50,10,20,10,110,4000,10000,80,80,5000,3,2,0,1,0
3200,False,5,50,10,20,10,110,4000,10000,80,80,5000,3,2,0,1,0
3650,False,5,50,10,20,10,110,4000,10000,80,80,5000,3,2,0,1,0
5270,False,5,50,10,20,10,110,4000,10000,80,80,5000,2,2,0,1,0
9120,False,5,50,10,20,10,110,4000,10000,80,80,5000,2,2,0,1,0
9270,False,5,50,10,20,10,110,4000,10000,80,80,5000,2,2,0,1,0
9970,False,5,50,10,20,10,110,4000,10000,80,80,5000,2,2,0,1,0
10020,False,5,50,10,20,10,110,4000,10000,80,80,5000,2,2,0,1,0
10120,False,5,50,10,20,10,110,4000,10000,80,80,5000,2,2,0,1,0
10220,False,5,50,10,20,10,110,4000,10000,80,80,5000,2,2,0,1,0
10270,False,5,50,10,20,10,110,4000,10000,80,80,5000,2,2,0,1,0
10370,False,5,50,10,20,10,110,4000,10000,80,80,5000,2,2,0,1,0
10570,False,5,50,10,20,10,110,4000,10000,80,80,5000,2,2,0,1,0
10670,False,5,50,10,20,10,110,4000,10000,80,80,5000,2,2,0,1,0
10720,False,5,50,10,20,10,110,4000,10000,80,80,5000,2,2,0,1,0
10870,False,5,50,10,20,10,110,4000,10000,80,80,5000,4,2,1,0,0
10970,False,5,50,10,20,10,110,4000,10000,80,80,5000,4,2,1,0,0
11020,False,5,50,10,20,10,110,4000,10000,80,80,5000,4,2,1,0,0
11070,False,5,50,10,20,10,110,4000,10000,80,80,5000,4,2,1,0,0
11170,False,5,50,10,20,10,110,4000,10000,80,80,5000,4,2,1,0,0
11320,False,5,50,10,20,10,110,4000,10000,80,80,5000,4,2,1,0,0
11370,False,5,50,10,20,10,110,4000,10000,80,80,5000,4,2,1,0,0
