time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
600,True,5,50,13,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
860,False,5,50,13,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1160,False,5,50,13,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
2220,False,5,50,13,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2750,False,5,50,13,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2900,False,5,50,13,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
4350,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4650,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5000,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5100,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5250,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5650,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5750,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
6400,False,5,50,13,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6500,False,5,50,13,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6650,False,5,50,13,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6800,False,5,50,13,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7510,False,5,50,13,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8160,False,5,50,13,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8660,False,5,50,13,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
9260,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9860,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10260,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10760,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10810,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10860,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
11860,False,5,50,13,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
12060,False,5,50,13,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12360,False,5,50,13,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12740,False,5,50,13,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
13270,False,5,50,13,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
16170,False,5,50,13,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
16220,False,5,50,13,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
17220,False,5,50,13,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
17710,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
17760,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
18210,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
18260,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
18360,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
18460,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
18510,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
18560,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
18610,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
18710,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
19010,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
19060,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
19160,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
19210,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
19310,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
19360,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
19510,False,5,50,13,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
