time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
600,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
650,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1250,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
2050,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
2100,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
2150,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2300,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2900,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3000,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3100,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3300,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3420,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3470,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3770,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3870,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3920,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4070,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4220,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4270,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4470,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4520,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4770,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4920,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4970,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5070,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5120,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5170,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5270,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5370,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5570,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5620,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5670,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5820,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5920,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
6020,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
6320,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6770,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
6820,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7020,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7320,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7370,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7820,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
7920,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8120,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8220,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8390,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8440,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8540,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8590,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8640,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8690,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
8840,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8940,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9040,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9090,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9190,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9240,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9290,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9440,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9590,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9690,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9840,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9890,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9940,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
9990,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10040,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10090,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10140,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10190,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10240,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10340,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10440,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10490,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10540,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10640,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10720,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10790,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10840,False,5,50,9,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
10890,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
10940,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
10990,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11040,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11140,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11240,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11340,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11440,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11640,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11740,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11790,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
11940,False,5,50,9,20,10,110,5000,10000,80,80,5000,4,2,1,0,0
12090,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
12140,False,5,50,9,20,10,110,5000,10000,80,80,5000,3,2,1,0,0
