time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
570,False,5,30,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
570,False,5,30,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
700,False,5,30,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
710,False,5,30,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
760,False,5,30,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
810,False,5,30,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
860,False,5,30,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
960,False,5,30,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1460,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
1510,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
1710,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
1760,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
1960,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2010,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2210,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2310,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2410,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2460,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2510,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2560,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2610,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2710,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2760,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2810,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2860,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2910,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2960,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3010,False,5,30,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3060,False,5,30,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3110,False,5,30,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3210,False,5,30,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
