time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
560,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
1110,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,4,2,0,1,0
2660,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
2980,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3080,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,3,2,0,1,0
3480,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3530,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3780,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3830,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3880,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3930,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
3980,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4330,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4480,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4580,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
4780,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5480,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5530,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
5780,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,0,1,0
6280,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
6380,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
6630,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
7030,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
7180,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
7330,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
7580,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8030,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8080,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8230,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,0,1,0
8630,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,0,1,0
8980,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,0,1,0
9030,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,0,1,0
9080,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,0,1,0
9130,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,0,1,0
9480,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,0,1,0
9530,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,0,1,0
9580,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,0,1,0
9880,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,0,1,0
10030,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,0,1,0
10280,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,0,1,0
10330,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
10430,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
10530,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
10680,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
11180,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
11330,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
11430,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
11680,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
11980,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
12080,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
12180,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
12330,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
12480,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
12730,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
12830,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
13530,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
13580,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
13730,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
13780,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
14030,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
14180,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
14380,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
14630,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
14730,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
14780,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
14830,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
14980,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
15030,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
15180,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
15280,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
15380,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
15440,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
15480,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
15530,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
15580,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
15630,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
15930,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
16130,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
16730,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
16780,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
16830,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
16980,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
17080,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
17330,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
17380,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
17430,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
17630,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
17680,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,2,2,1,0,0
18050,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
18150,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
18350,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
18450,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
19100,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
19150,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
19200,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
19350,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
19650,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
19700,False,5.5,50,10,20,10,110,5000,10000,80,80,5000,1,2,1,0,0
