time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
520,True,5,50,10,20,10,110,5000,10000,90,80,5000,4,2,0,1,0
990,False,5,50,10,20,10,110,5000,10000,90,80,5000,4,2,0,1,0
1090,False,5,50,10,20,10,110,5000,10000,90,80,5000,4,2,0,1,0
1290,False,5,50,10,20,10,110,5000,10000,90,80,5000,4,2,0,1,0
2120,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
2380,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
3170,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
3220,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
3810,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
3860,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
4010,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
4060,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
4110,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
4160,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
4260,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
4360,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
4460,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
4510,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
4530,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
4660,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
4710,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
4760,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
4910,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
4960,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
5060,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
5110,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
5360,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
5410,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
5460,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
5610,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
5660,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
5710,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
5810,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
5860,False,5,50,10,20,10,110,5000,10000,90,80,5000,4,2,0,1,0
5910,False,5,50,10,20,10,110,5000,10000,90,80,5000,4,2,0,1,0
6110,False,5,50,10,20,10,110,5000,10000,90,80,5000,4,2,0,1,0
6160,False,5,50,10,20,10,110,5000,10000,90,80,5000,4,2,0,1,0
6260,False,5,50,10,20,10,110,5000,10000,90,80,5000,4,2,0,1,0
6360,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
6460,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
6610,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
6710,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
6760,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
6860,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
6960,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
7260,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
7410,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
7510,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
7560,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
7610,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
7760,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
7860,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
7910,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
8060,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
8110,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
8160,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
8360,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
8410,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
8460,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
8510,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
8610,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
8660,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
8710,False,5,50,10,20,10,110,5000,10000,90,80,5000,3,2,0,1,0
8930,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
9030,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
9230,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
9280,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
9930,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
10180,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
10230,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
10380,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
10680,False,5,50,10,20,10,110,5000,10000,90,80,5000,2,2,0,1,0
