time,is_night,tree_spawn_rate,tree_health,food_spawn_rate,food_health,plant_growth_rate,dude_speed,dude_max_hunger,dude_lifespan,wraith_speed,quarry_health,building_max_health,tree_population,dude_population,food_population,plant_population,building_population
540,True,5.4,50,9,20,10,110,5000,10000,80,50,5000,4,2,0,1,0
540,True,5.4,50,9,20,10,110,5000,10000,80,50,5000,4,2,0,1,0
650,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,4,2,0,1,0
1300,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,4,2,0,1,0
2480,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
2530,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
2630,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
2730,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
2830,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
3330,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
3480,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
3880,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
3980,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
4030,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
4230,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
4430,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
4530,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
4580,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
4630,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
4780,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
4830,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
4880,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
4980,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
5630,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
5730,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
5830,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
5930,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
6080,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
6130,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
6180,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
6530,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
6580,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
6630,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
6780,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
6830,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
6880,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
6930,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
7080,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
7330,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
7380,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
7880,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,0,1,0
8830,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
9080,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
9680,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
9730,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
10780,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,0,1,0
11130,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,1,0,0
11180,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,1,0,0
11280,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,1,0,0
11330,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,1,0,0
11580,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,2,2,1,0,0
12080,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,4,2,1,0,0
12670,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
12870,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
13670,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
13820,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
13870,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
13920,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
14020,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
14070,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
14170,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
14220,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
14270,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
14370,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
14470,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
14870,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
15070,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
15720,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
15870,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
16120,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
16220,False,5.4,50,9,20,10,110,5000,10000,80,50,5000,3,2,1,0,0
